"File","Latitude","Longitude","Label","Weight","Cluster","RiskScore"
"2022-Fish_net-02308.json",35.0871833333333,129.077716666667,"Fish_net",4.5,3,3.58397328881469
"2022-Fish_net-02399.json",35.1386333333333,129.114216666667,"Fish_net",4.5,1,3.56219512195122
"2022-Fish_net-02562.json",35.1384666666667,129.1143,"Fish_net",4.5,1,3.56219512195122
"2022-Fish_net-02815.json",35.0871666666667,129.077483333333,"Fish_net",4.5,3,3.58397328881469
"2022-Fish_net-03071.json",35.13805,129.113583333333,"Fish_net",4.5,1,3.56219512195122
"2022-Fish_net-03152.json",35.13805,129.113616666667,"Fish_net",4.5,1,3.56219512195122
"2022-Fish_net-03327.json",35.0873166666667,129.077166666667,"Fish_net",4.5,3,3.58397328881469
"2022-Fish_net-03414.json",35.1384,129.11405,"Fish_net",4.5,1,3.56219512195122
"2022-Fish_net-03662.json",35.3253166666667,129.276866666667,"Fish_net",4.5,9,3.47048611111111
"2022-Fish_net-03986.json",35.1383333333333,129.113866666667,"Fish_net",4.5,1,3.56219512195122
"2022-Fish_net-04009.json",35.1384,129.113966666667,"Fish_net",4.5,1,3.56219512195122
"2022-Fish_net-04060.json",35.3258166666667,129.277666666667,"Fish_net",4.5,9,3.47048611111111
"2022-Fish_net-04196.json",35.3251666666667,129.276916666667,"Fish_net",4.5,9,3.47048611111111
"2022-Fish_net-04343.json",35.13835,129.114616666667,"Fish_net",4.5,1,3.56219512195122
"2022-Fish_net-04661.json",35.1383333333333,129.113933333333,"Fish_net",4.5,1,3.56219512195122
"2022-Fish_net-04680.json",35.1383666666667,129.113933333333,"Fish_net",4.5,1,3.56219512195122
"2022-Fish_net-05282.json",35.3248333333333,129.2771,"Fish_net",4.5,9,3.47048611111111
"2022-Fish_net-05370.json",35.3250166666667,129.276983333333,"Fish_net",4.5,9,3.47048611111111
"2022-Fish_net-05524.json",35.1384166666667,129.114233333333,"Fish_net",4.5,1,3.56219512195122
"2022-Fish_net-07741.json",35.0871166666667,129.077533333333,"Fish_net",4.5,3,3.58397328881469
"2022-Fish_net-07838.json",34.9268166666667,128.070066666667,"Fish_net",4.5,7,3.63115942028986
"2022-Fish_net-08198.json",35.3258,129.277766666667,"Fish_net",4.5,9,3.47048611111111
"2022-Fish_net-08334.json",35.0872333333333,129.07775,"Fish_net",4.5,3,3.58397328881469
